שם השירות,בעיה / צורך שהשירות פותר,הצעת ערך ממוקדת,ייחודיות ברורה ומשמעותית (בידול),קהל יעד עיקרי,מאפיינים של קהל היעד,ערוץ שיווק מתאים,מודל תמחור (הערכה)
🆘 שחר עושה סדר,אתר שנבנה בעזרת AI לא עובד / לא נראה טוב / לא מביא לקוחות,תיקון ושדרוג אתרים שנבנו בעזרת AI - כשניסיתם לבד ונתקעתם,הכרה של כלי ה-AI השונים שפות תכנות שונות ומבנה הפרויקטים המופקים,בעלי מקצועות חופשיים שניסו לבנות אתר בעצמם,רצו לחסוך כסף ניסו לבנות בעצמם עם AI נתקעו בעלי עסקים קטנים,רשתות חברתיות פה לאוזן נטוורקינג קבוצות פייסבוק של עצמאיים,1500-3500₪ לבדיקה+תיקונים
🔍 סריקה ופתרונות,האתר לא מביא לקוחות ולא יודע למה ומה לתקן,סריקה מקצועית של האתר + דוח פידבק מפורט עם המלצות לתיקון,יכולת לזהות בעיות טכניות עיצוביות ושיווקיות באתר בצורה מקצועית,בעלי עסקים עם אתר קיים שלא מביא תוצאות,לא בהכרח טכנולוגיים יש להם אתר אבל לא מרוצים מהביצועים,רשתות חברתיות גוגל קבוצות עצמאיים המלצות,₪399-499 לבדיקה + דוח מפורט
🏃‍♂️ עמוד נחיתה מקסיק,עסקים שרוצים למכור מוצר או שירות ספציפי אבל לא יודעים איך לבנות עמוד שמוכר,עמוד נחיתה אטרקטיבי ומקצועי שמותאם להמרות עם טפסי הזמנה ושיחה לפעולה חזקה,עיצוב ופסיכולוגיה מותאמים להמרות טקסט מכירות משכנע אלמנטים נפסיכולוגיים שמניעים לפעולה,בעלי עסקים שרוצים למכור מוצר או שירות מסוים באינטרנט,רוצים לבדוק רעיון עסקי חדש מעוניינים בהמרות גבוהות זקוקים למכירות מהירות,מודעות פייסבוק וגוגל אימייל מרקטינג לרשימות קיימות המלצות מלקוחות,₪1200-2500 לעמוד יחיד + הוספת מעקב המרות
🎨 אתר תדמית לאמנים וספורטאים,אמנים ספורטאים ומקצועות חופשיים זקוקים לנוכחות דיגיטלית מקצועית,אתר תדמית מרשים + גלריה מקצועית + מערכת הזמנות + אופטימיזציה למובייל,התמחות בעיצוב ויזואלי מותאם לתחום המקצועי + תבניות ייחודיות + SEO מותאם,אמנים ספורטאים צלמים מעצבים יועצים מטפלים,רוצים לבלוט מהתחרות לבנות מותג אישי חזק למשוך לקוחות איכותיים,אינסטגרם לינקדאין שיווק תוכן קהילות מקצועיות תערוכות ואירועים,₪2500-3300 כולל עיצוב מותאם
🎨 אתר לעסקים קטנים-בינוניים,עסקים קטנים-בינוניים זקוקים לנוכחות דיגיטלית מקצועית,אתר מרשים + גלריה מקצועית + מערכת הזמנות + אופטימיזציה למובייל,התמחות בעיצוב ויזואלי מותאם לתחום העסק + תבניות ייחודיות + SEO מותאם,סלוני יופי מניקוריסטיות מסעדות ובתי קפה קיוסקים משרדי עו״ד,רוצים לבלוט לבנות מותג אישי חזק למשוך לקוחות איכותיים,אינסטגרם לינקדאין שיווק תוכן קהילות מקצועיות תערוכות ואירועים,₪4500-9900 כולל עיצוב מותאם
🎯 SEO מקומי לאמנים וספורטאים,אמנים עם אתרים יפים שאף אחד לא מוצא בגוגל כשמחפשים בעיר שלהם,אופטימיזציה לחיפושים מקומיים הגדרת Google My Business קידום על מילות מפתח,התמחות במילות מפתח של אמנים מקומיים הבנת התחרות בתחום,אמנים מאמנים אישיים מוזיקאים שרוצים לקוחות מקומיים באזור המגורים,מבינים שנוכחות דיגיטלית לא מספיקה רוצים לקוחות,הצעה נוספת ללקוחות קיימים שיתוף פעולה עם עסקים מקומיים,₪1300-3300 פרויקט + ₪400 תחזוקה חודשית
🎯 SEO מקומי לעסקים קטנים-בינוניים,עסקים שאף אחד לא מוצא בגוגל כשמחפשים בעיר שלהם,אופטימיזציה לחיפושים מקומיים הגדרת Google My Business קידום על מילות מפתח,התמחות במילות מפתח של העסק הבנת התחרות בתחום,עסקים וחנויות שרוצים לקוחות מקומיים באזור המגורים,מבינים שנוכחות דיגיטלית לא מספיקה רוצים לקוחות מקומיים,הצעה נוספת ללקוחות קיימים שיתוף פעולה עם עסקים מקומיים,₪1800-2500 פרויקט + ₪500 תחזוקה חודשית
🔧 חבילת תחזוקה חודשית בסיסית,בעלי אתרים קטנים שזקוקים לתחזוקה שוטפת אבל לא יכולים להרשות שירות יקר,עדכוני מערכת ותוספים גיבוי חודשי סריקת קישורים שבורים בדיקת PageSpeed,חבילה מקיפה במחיר נגיש דוח מפורט חודשי זמינות לשאלות,בעלי עסקים קטנים אמנים מקצועות חופשיים עם אתרים קיימים,אין להם ידע טכני רוצים שקט נפשי מעוניינים במחיר צפוי וקבוע,לקוחות קיימים חידוש חוזים אוטומטי המלצות אימייל מרקטינג,₪149-299 לחודש (מנוי שנתי)
🔧 חבילת תחזוקה חודשית מתקדמת,בעלי אתרים עסקיים שזקוקים לתחזוקה מתקדמת יותר ותמיכה צמודה,עדכוני מערכת ותוספים גיבוי שבועי ניטור פרואקטיבי 24/7 שעות תמיכה נוספות אופטימיזציה בסיסית,ניטור מתקדם תמיכה מהירה יותר דוחות ביצועים חודשיים יכולת שחזור מהיר,בעלי עסקים בינוניים אתרי מסחר אלקטרוני עורכי דין רופאים,מבינים את החשיבות של זמינות רוצים תמיכה מהירה מוכנים להשקיע יותר בשקט נפשי,הצעה לשדרוג ללקוחות קיימים שיווק ללקוחות עסקיים מקצועיים,₪399-599 לחודש (מנוי שנתי)
🔧 חבילת תחזוקה חודשית פרימיום,בעלי אתרים גדולים ועסקים שזקוקים לשירות מלא וניהול תוכן,כל מה שיש במתקדמת + עדכוני תוכן קלים דוחות ביצועים מפורטים ייעוץ אסטרטגי חודשי אופטימיזציה מתקדמת,שירות כמעט מלא ניהול חלקי של האתר יחס אישי ייעוץ מתמשך דוחות מקצועיים,עסקים גדולים אתרי מסחר מתקדמים משרדי עורכי דין גדולים מרפאות פרטיות,רוצים שירות מלא מוכנים להשקיע בטיפוח האתר מעוניינים בייעוץ מתמשך,שיווק ישיר ללקוחות עסקיים גדולים המלצות מלקוחות קיימים נטוורקינג עסקי,₪699-999 לחודש (מנוי שנתי)
🔒 שירותי אבטחה ובטיחות אתרים,אתרים נפרצים וירוסים התקפות DDoS ואיבוד מידע שהורס עסקים שלמים,מערכת אבטחה מתקדמת גיבוי יומי אוטומטי מוניטורינג 24/7 שחזור מהיר,שירות מלא ומקיף תגובה מהירה לאירועי אבטחה יכולת שחזור תוך שעות,בעלי עסקים שהאתר קריטי להצלחתם ולא יכולים להרשות לעצמם השבתה,מבינים את חשיבות האבטחה חוששים מאיבוד נתונים מוכנים להשקיע בשקט נפשי,תוכן על פריצות ונזקים אימייל מרקטינג עם סיפורי אימה הצעה ללקוחות עסקיים,₪299-599 לחודש (לפי רמת האבטחה)
🚀 שירותי מהירות ואופטימיזציה,אתרים איטיים שגורמים ללקוחות לעזוב ירידה בדירוגי גוגל וחוויית משתמש גרועה,אופטימיזציה מלאה למהירות דחיסת תמונות אופטימיזציה לקוד CDN ושיפור PageSpeed,מתמחה באתרים של אמנים עם הרבה תמונות אופטימיזציה ללא פגיעה באיכות,בעלי אתרים עם תמונות רבות אמנים צלמים אתרי פורטפוליו כבדים,חשו שהאתר איטי קיבלו תלונות מלקוחות רוצים לשפר את הדירוג בגוגל,כלי בדיקת מהירות חינמי באתר דוח מהירות כקרן קרח הצעה ללקוחות,₪800-1500 פרויקט חד פעמי
